neighborhood,year,month,incident_type,response_min
Lincoln Park,2020,4,Fire,4.28
Near West Side,2022,2,Police,20.08
North Lawndale,2019,2,Medical,8.74
Lincoln Park,2019,8,Fire,6.21
Riverdale,2021,3,Fire,9.1
Grand Boulevard,2023,3,Police,17.89
Grand Boulevard,2023,4,Police,7.56
Hyde Park,2023,11,Medical,7.95
Logan Square,2022,5,Fire,9.23
Near North Side,2024,3,Police,6.89
West Town,2024,6,Fire,7.87
Woodlawn,2023,10,Police,9.7
Hyde Park,2023,3,Medical,7.92
Riverdale,2020,8,Medical,13.09
West Town,2024,4,Fire,12.49
Greater Grand Crossing,2022,5,Police,11.64
Woodlawn,2022,3,Medical,10.64
Lake View,2019,5,Medical,2.54
West Ridge,2019,11,Police,10.79
Riverdale,2020,7,Police,14.01
Austin,2021,3,Fire,17.81
Grand Boulevard,2022,3,Medical,9.49
Beverly,2019,1,Medical,5.25
Austin,2023,2,Medical,9.9
Humboldt Park,2022,4,Police,12.43
Chatham,2022,12,Police,9.62
Hyde Park,2022,9,Police,6.27
West Englewood,2024,3,Police,10.99
West Town,2019,10,Police,10.65
Uptown,2020,5,Medical,6.57
Grand Boulevard,2019,9,Fire,13.79
Chatham,2023,4,Police,13.23
Englewood,2023,4,Medical,6.87
Riverdale,2021,6,Police,13.0
Morgan Park,2019,7,Police,10.35
Morgan Park,2019,12,Fire,10.58
Grand Boulevard,2021,11,Fire,4.97
Near North Side,2021,6,Police,4.59
Uptown,2022,11,Fire,6.87
West Pullman,2022,4,Medical,8.77
Pullman,2023,7,Medical,6.01
North Lawndale,2020,12,Medical,12.56
Near North Side,2023,11,Medical,7.07
Morgan Park,2024,10,Medical,8.09
Rogers Park,2019,3,Police,11.92
Humboldt Park,2020,3,Fire,11.4
West Pullman,2022,12,Medical,7.23
Lincoln Park,2021,7,Police,4.19
Washington Heights,2021,12,Fire,8.09
Albany Park,2023,6,Medical,10.16
Near North Side,2019,2,Police,2.46
Hyde Park,2019,1,Medical,6.64
Englewood,2021,6,Medical,7.11
Roseland,2023,9,Medical,7.25
Greater Grand Crossing,2024,3,Police,8.04
Near South Side,2023,9,Police,4.07
West Garfield Park,2022,6,Police,9.97
Riverdale,2022,4,Police,12.54
Albany Park,2022,10,Medical,9.0
Irving Park,2024,10,Police,9.19
Austin,2020,10,Police,9.28
Morgan Park,2023,12,Police,6.43
West Pullman,2023,2,Police,8.14
West Town,2024,9,Police,11.94
Woodlawn,2022,5,Police,15.06
South Shore,2021,5,Police,9.79
West Garfield Park,2022,2,Fire,9.76
West Ridge,2020,5,Police,10.14
Greater Grand Crossing,2024,6,Police,8.45
Near North Side,2021,2,Medical,5.42
Logan Square,2023,1,Medical,11.74
West Town,2020,6,Fire,12.27
Washington Park,2020,9,Police,17.98
Grand Boulevard,2024,9,Medical,9.64
Douglas,2021,9,Fire,10.6
Hyde Park,2022,5,Medical,5.53
Riverdale,2022,10,Medical,8.28
Portage Park,2019,1,Police,8.73
Albany Park,2021,3,Medical,5.79
Washington Park,2022,8,Police,8.31
Auburn Gresham,2020,9,Medical,6.62
Beverly,2024,4,Medical,4.69
Morgan Park,2022,11,Medical,5.38
Kenwood,2024,12,Police,9.4
Mount Greenwood,2022,3,Medical,7.89
Riverdale,2024,2,Police,13.4
West Garfield Park,2020,5,Fire,10.79
Kenwood,2021,2,Police,8.45
Auburn Gresham,2019,11,Police,9.58
West Ridge,2024,9,Medical,14.54
West Pullman,2022,10,Medical,6.35
Kenwood,2024,11,Medical,13.43
Jefferson Park,2024,9,Medical,6.45
Lincoln Square,2022,3,Medical,5.34
West Garfield Park,2022,4,Fire,9.8
West Garfield Park,2021,12,Medical,9.19
Roseland,2020,12,Medical,7.64
Mount Greenwood,2020,9,Police,11.06
Portage Park,2020,1,Police,11.5
Near South Side,2020,7,Police,7.04
Near South Side,2020,2,Police,11.27
North Lawndale,2020,9,Fire,12.02
Chatham,2022,11,Fire,10.79
Kenwood,2022,12,Police,9.25
Albany Park,2020,12,Medical,7.46
West Garfield Park,2020,3,Medical,9.74
North Lawndale,2021,6,Medical,8.93
Loop,2024,5,Medical,4.38
Auburn Gresham,2021,2,Medical,10.72
North Lawndale,2023,9,Medical,9.99
West Garfield Park,2022,3,Police,8.46
Jefferson Park,2020,6,Medical,5.18
Humboldt Park,2024,9,Medical,7.96
Chatham,2022,8,Medical,6.87
Pullman,2023,10,Medical,8.8
Lincoln Square,2021,5,Police,8.94
North Lawndale,2023,6,Police,12.92
Loop,2019,3,Medical,5.24
Jefferson Park,2021,5,Medical,7.95
Logan Square,2022,6,Police,10.37
West Town,2021,3,Medical,11.67
Woodlawn,2023,10,Medical,8.66
West Town,2020,2,Medical,6.24
South Shore,2024,10,Fire,13.67
Auburn Gresham,2023,9,Medical,10.79
Near West Side,2023,7,Medical,7.36
Hyde Park,2020,4,Police,7.74
Hyde Park,2024,3,Police,3.4
Washington Park,2022,4,Fire,7.87
Hyde Park,2024,9,Police,5.14
Hyde Park,2022,9,Police,6.48
South Shore,2021,12,Medical,7.87
North Lawndale,2023,6,Fire,8.92
West Pullman,2021,11,Medical,9.58
Uptown,2020,12,Fire,11.21
West Ridge,2019,9,Medical,7.87
Riverdale,2022,9,Medical,7.34
Near West Side,2020,6,Police,15.04
West Garfield Park,2022,5,Police,10.59
Riverdale,2021,11,Police,8.55
Irving Park,2019,3,Police,7.53
Uptown,2024,1,Police,12.06
Hyde Park,2023,4,Medical,4.7
West Englewood,2024,1,Police,9.94
Edison Park,2022,12,Police,7.78
Greater Grand Crossing,2023,1,Medical,12.4
Near North Side,2021,6,Police,6.45
Greater Grand Crossing,2022,11,Medical,6.84
Austin,2024,5,Fire,9.38
Kenwood,2021,7,Police,10.07
Rogers Park,2023,1,Medical,9.16
Washington Park,2021,1,Police,19.48
Albany Park,2021,8,Police,11.1
Austin,2021,6,Police,10.14
Austin,2020,8,Medical,10.03
Edison Park,2020,6,Police,3.24
Chatham,2022,6,Police,7.13
Washington Heights,2021,10,Medical,6.93
South Shore,2024,7,Police,13.13
Lincoln Park,2021,12,Police,2.96
Austin,2021,2,Medical,6.82
Loop,2020,3,Medical,6.55
Austin,2023,12,Medical,5.3
Near North Side,2021,4,Medical,3.73
Morgan Park,2019,1,Medical,8.79
Humboldt Park,2022,9,Medical,9.51
Hyde Park,2020,9,Fire,8.36
Hyde Park,2023,4,Police,6.19
Humboldt Park,2019,1,Police,13.95
Near North Side,2021,1,Police,5.16
Riverdale,2024,6,Police,13.86
Hyde Park,2024,2,Police,6.12
Loop,2020,1,Medical,6.99
Uptown,2021,10,Medical,9.95
Lincoln Square,2022,11,Fire,10.93
Hyde Park,2020,12,Police,11.51
Portage Park,2019,2,Police,8.36
West Ridge,2024,7,Police,12.83
Humboldt Park,2023,4,Medical,8.37
Roseland,2023,7,Medical,7.41
Irving Park,2022,7,Police,9.51
Hyde Park,2023,4,Medical,5.17
Riverdale,2023,2,Medical,14.38
Logan Square,2022,9,Police,6.76
Humboldt Park,2024,10,Medical,9.37
Kenwood,2019,10,Medical,5.69
Englewood,2020,3,Medical,7.51
Hyde Park,2024,1,Police,5.52
Near South Side,2020,11,Medical,6.07
South Shore,2022,8,Medical,8.98
Greater Grand Crossing,2024,4,Police,12.05
Mount Greenwood,2021,9,Medical,7.73
West Ridge,2022,8,Police,8.9
Jefferson Park,2022,11,Police,9.77
Grand Boulevard,2022,11,Medical,7.59
West Town,2022,7,Fire,8.4
Logan Square,2023,9,Medical,12.96
Grand Boulevard,2023,2,Medical,8.56
West Garfield Park,2024,4,Medical,9.93
West Ridge,2019,5,Medical,9.01
Loop,2022,5,Fire,13.49
Loop,2020,12,Medical,5.22
Uptown,2021,1,Medical,5.98
Irving Park,2023,9,Police,10.5
Mount Greenwood,2020,9,Medical,4.36
West Ridge,2023,5,Police,6.02
Greater Grand Crossing,2024,10,Police,14.81
Humboldt Park,2019,3,Medical,10.12
Austin,2021,8,Police,7.84
Near West Side,2023,7,Fire,9.35
Englewood,2021,5,Police,12.87
Lincoln Park,2021,12,Police,6.83
Logan Square,2024,1,Police,14.23
Greater Grand Crossing,2020,7,Police,13.96
Douglas,2023,11,Medical,3.98
North Lawndale,2021,1,Medical,7.73
Irving Park,2024,1,Police,4.28
Roseland,2022,9,Medical,11.91
Mount Greenwood,2021,6,Medical,7.58
Near North Side,2021,7,Police,9.68
West Pullman,2023,2,Medical,8.68
Near West Side,2022,11,Fire,11.67
Lincoln Park,2021,8,Police,9.53
Loop,2023,7,Police,8.5
Woodlawn,2023,5,Fire,13.74
Auburn Gresham,2024,8,Fire,8.5
Near North Side,2021,2,Police,2.95
Lake View,2019,6,Medical,5.13
Portage Park,2019,4,Police,11.66
West Town,2020,7,Police,8.37
Uptown,2019,6,Police,8.78
Lake View,2019,12,Medical,3.41
Grand Boulevard,2023,6,Fire,9.03
Auburn Gresham,2023,5,Police,9.3
Jefferson Park,2024,11,Medical,2.63
West Town,2021,5,Police,5.41
Uptown,2021,2,Medical,8.89
Chatham,2023,11,Fire,8.7
Lincoln Park,2021,7,Police,2.58
West Garfield Park,2023,7,Police,10.4
Hyde Park,2019,8,Police,6.55
Near South Side,2021,4,Fire,7.96
Edison Park,2019,11,Medical,5.16
Near South Side,2020,11,Medical,9.88
Portage Park,2024,11,Medical,11.38
Beverly,2024,9,Police,2.32
Edison Park,2021,10,Police,6.18
Kenwood,2023,3,Medical,4.97
West Englewood,2024,3,Fire,7.66
Humboldt Park,2023,2,Fire,6.87
Humboldt Park,2024,10,Police,8.14
Albany Park,2020,7,Police,7.42
Irving Park,2023,12,Police,11.3
Beverly,2019,10,Fire,4.66
Englewood,2023,2,Medical,6.88
Morgan Park,2020,7,Medical,10.11
Albany Park,2022,3,Police,9.07
West Garfield Park,2022,1,Police,9.93
West Garfield Park,2019,11,Police,12.64
Uptown,2022,8,Medical,10.01
Pullman,2023,8,Police,11.93
Rogers Park,2020,10,Medical,9.39
Irving Park,2024,1,Medical,6.64
Washington Heights,2019,11,Medical,8.07
Lincoln Square,2022,6,Fire,5.92
Logan Square,2023,4,Police,11.86
Englewood,2024,5,Medical,9.43
Near South Side,2024,8,Fire,6.95
Douglas,2023,8,Police,13.57
Lincoln Square,2021,7,Medical,5.38
North Lawndale,2021,5,Medical,9.23
Lake View,2020,6,Fire,5.64
Near West Side,2019,8,Medical,10.16
West Ridge,2022,5,Fire,14.83
Irving Park,2022,3,Medical,8.61
West Garfield Park,2023,9,Police,11.24
Albany Park,2022,9,Police,10.14
Englewood,2020,10,Police,9.46
Lincoln Park,2021,1,Fire,6.45
Edison Park,2023,7,Police,6.61
Portage Park,2019,4,Police,6.15
Irving Park,2023,6,Medical,11.09
Jefferson Park,2022,7,Police,12.34
West Ridge,2020,8,Fire,7.3
Edison Park,2019,11,Police,8.13
Portage Park,2023,5,Police,9.89
Greater Grand Crossing,2022,5,Medical,9.24
Albany Park,2023,12,Fire,11.4
Near South Side,2019,6,Police,12.6
Loop,2022,7,Police,6.15
Edison Park,2021,5,Police,3.08
Greater Grand Crossing,2024,5,Police,12.48
Chatham,2019,12,Police,17.47
Irving Park,2021,4,Police,10.53
Humboldt Park,2021,1,Police,15.69
Near South Side,2022,7,Medical,6.95
Douglas,2023,7,Police,13.55
Near South Side,2023,6,Medical,9.48
Roseland,2020,10,Fire,6.49
Washington Heights,2019,2,Fire,6.34
Loop,2019,2,Police,3.21
Kenwood,2022,6,Medical,9.22
Grand Boulevard,2022,12,Medical,8.68
Near North Side,2020,9,Police,4.09
Jefferson Park,2020,5,Police,12.29
Rogers Park,2021,7,Police,10.65
Hyde Park,2024,2,Police,7.26
Beverly,2020,6,Police,6.49
Beverly,2023,11,Police,4.75
Douglas,2021,6,Police,10.01
Albany Park,2024,10,Fire,7.64
Lincoln Park,2020,6,Medical,8.01
West Garfield Park,2024,6,Medical,11.41
Beverly,2023,4,Police,8.29
Kenwood,2023,5,Medical,7.09
Albany Park,2021,4,Police,11.57
Edison Park,2021,6,Fire,3.14
Near South Side,2023,9,Police,9.3
Lincoln Park,2022,5,Police,6.75
Near South Side,2021,5,Police,11.58
Washington Heights,2019,3,Medical,11.68
Kenwood,2022,11,Medical,6.82
Riverdale,2019,7,Medical,8.65
North Lawndale,2024,5,Medical,11.77
South Shore,2024,2,Police,13.74
West Pullman,2024,9,Police,9.33
Irving Park,2020,5,Medical,9.88
Woodlawn,2021,7,Police,15.01
Albany Park,2021,12,Police,13.91
West Pullman,2023,7,Police,7.92
Hyde Park,2021,10,Medical,5.47
Washington Park,2024,12,Police,10.07
Portage Park,2019,8,Fire,4.47
Grand Boulevard,2022,4,Police,13.2
Englewood,2020,7,Medical,12.26
Mount Greenwood,2022,3,Police,7.82
Grand Boulevard,2019,9,Fire,7.5
Chatham,2020,8,Police,12.35
Pullman,2023,12,Medical,9.05
Near North Side,2021,10,Medical,3.84
Mount Greenwood,2021,9,Police,8.16
Riverdale,2023,2,Police,12.75
Near South Side,2019,4,Medical,8.3
West Ridge,2023,1,Medical,4.84
North Lawndale,2024,8,Medical,4.92
Riverdale,2019,4,Police,15.67
Auburn Gresham,2020,4,Medical,9.68
Englewood,2022,7,Police,11.68
Loop,2022,6,Medical,4.02
West Englewood,2023,3,Medical,10.12
North Lawndale,2021,8,Police,10.27
Kenwood,2023,2,Police,7.44
Edison Park,2021,1,Police,7.62
Roseland,2023,12,Fire,11.64
Albany Park,2023,12,Police,6.44
Grand Boulevard,2022,12,Medical,8.88
Portage Park,2024,2,Fire,8.18
West Ridge,2021,9,Medical,9.62
Hyde Park,2024,5,Police,12.13
Greater Grand Crossing,2024,5,Police,10.74
Riverdale,2024,6,Fire,11.89
Logan Square,2022,3,Medical,9.06
Mount Greenwood,2024,1,Medical,5.59
Washington Park,2021,8,Police,10.5
Lincoln Square,2020,7,Medical,10.2
Near West Side,2024,12,Medical,5.03
North Lawndale,2024,8,Medical,9.66
Auburn Gresham,2020,9,Police,11.76
Roseland,2024,2,Police,14.79
Near West Side,2020,5,Medical,7.88
Grand Boulevard,2019,2,Police,8.07
Austin,2022,8,Medical,6.01
Rogers Park,2022,4,Fire,6.33
Irving Park,2020,11,Medical,6.39
Kenwood,2023,4,Police,7.65
Englewood,2022,10,Police,10.49
Edison Park,2021,8,Medical,5.21
North Lawndale,2022,7,Medical,12.85
Lake View,2022,1,Fire,4.42
Hyde Park,2021,7,Police,10.31
Roseland,2020,10,Police,8.83
Logan Square,2020,3,Police,5.99
Near West Side,2021,5,Medical,9.38
Chatham,2022,8,Medical,8.41
Uptown,2024,6,Medical,6.35
Hyde Park,2022,8,Police,6.08
Mount Greenwood,2020,5,Police,7.02
Irving Park,2024,10,Medical,9.12
West Ridge,2019,9,Police,9.76
Portage Park,2020,11,Medical,8.91
South Shore,2021,6,Police,12.48
North Lawndale,2024,11,Police,13.65
Logan Square,2019,9,Police,7.96
Auburn Gresham,2019,4,Medical,10.37
Douglas,2021,2,Medical,6.74
Irving Park,2024,8,Medical,9.71
West Ridge,2023,5,Fire,10.7
Auburn Gresham,2020,2,Medical,8.93
Near North Side,2022,6,Police,2.68
Hyde Park,2024,3,Fire,2.95
Hyde Park,2020,1,Medical,7.52
Kenwood,2021,12,Police,9.05
Irving Park,2022,6,Fire,8.45
Austin,2023,11,Police,15.71
Grand Boulevard,2021,8,Medical,6.35
Mount Greenwood,2020,1,Medical,8.65
Jefferson Park,2019,3,Police,6.98
West Pullman,2021,6,Medical,8.88
West Town,2021,10,Police,6.96
Auburn Gresham,2020,3,Fire,8.81
Logan Square,2023,7,Medical,10.42
Lake View,2020,6,Police,7.68
Portage Park,2020,9,Police,10.74
Albany Park,2023,6,Medical,7.73
Logan Square,2023,7,Fire,12.19
Morgan Park,2021,2,Medical,8.47
West Town,2019,10,Medical,5.64
Near North Side,2020,4,Police,2.9
Mount Greenwood,2019,5,Police,10.24
South Shore,2023,2,Police,6.83
West Pullman,2023,11,Police,6.92
West Englewood,2020,10,Medical,9.47
West Town,2021,10,Medical,9.7
Greater Grand Crossing,2020,10,Medical,9.18
Near South Side,2021,7,Police,8.71
Lincoln Park,2022,4,Police,3.34
Rogers Park,2021,9,Medical,8.38
Lincoln Square,2020,8,Police,10.24
Portage Park,2020,10,Police,6.06
Hyde Park,2021,9,Medical,8.35
Auburn Gresham,2019,8,Medical,9.77
Grand Boulevard,2021,5,Medical,8.89
Chatham,2022,9,Police,11.74
Near South Side,2022,5,Medical,3.97
Woodlawn,2019,8,Police,9.86
Washington Heights,2022,4,Police,11.31
Mount Greenwood,2020,5,Medical,7.33
Logan Square,2019,11,Police,9.4
Grand Boulevard,2019,4,Medical,7.27
Austin,2019,2,Medical,10.64
Roseland,2024,4,Fire,9.22
Lincoln Square,2021,11,Medical,7.32
Mount Greenwood,2021,5,Medical,10.34
Austin,2019,6,Medical,10.05
Pullman,2022,4,Police,6.37
Washington Park,2024,11,Police,10.13
Irving Park,2024,10,Medical,14.76
Hyde Park,2020,12,Medical,10.86
Auburn Gresham,2020,4,Police,13.86
Riverdale,2021,6,Police,16.18
South Shore,2023,7,Medical,7.63
Jefferson Park,2019,7,Medical,8.14
Irving Park,2023,4,Medical,8.32
Lake View,2020,5,Police,6.96
South Shore,2021,3,Medical,8.18
West Englewood,2021,5,Police,9.53
Lake View,2021,10,Medical,5.3
Englewood,2021,5,Medical,9.07
Englewood,2021,4,Medical,10.26
Logan Square,2019,6,Medical,7.61
Washington Heights,2024,5,Medical,10.64
Humboldt Park,2023,8,Medical,7.51
Portage Park,2024,2,Fire,8.44
Beverly,2020,6,Medical,6.3
Lincoln Square,2020,2,Medical,7.7
Riverdale,2024,12,Police,13.07
Near North Side,2021,6,Medical,9.87
Morgan Park,2021,4,Medical,11.69
Edison Park,2024,1,Medical,2.31
Auburn Gresham,2021,6,Police,14.66
Albany Park,2024,3,Medical,8.6
West Town,2022,7,Medical,8.87
Beverly,2020,3,Medical,7.05
West Town,2021,10,Medical,16.97
Lake View,2023,4,Police,9.64
Chatham,2022,9,Police,11.84
Near West Side,2019,7,Police,9.5
Albany Park,2022,4,Medical,9.27
Irving Park,2022,2,Police,10.96
Lincoln Square,2022,5,Police,8.5
Pullman,2023,8,Medical,6.68
North Lawndale,2020,2,Medical,9.49
Austin,2021,9,Medical,9.55
Mount Greenwood,2023,5,Medical,8.56
Greater Grand Crossing,2023,6,Medical,9.58
Washington Park,2024,7,Medical,9.27
Grand Boulevard,2021,9,Police,11.35
Irving Park,2024,7,Medical,8.2
Englewood,2024,4,Fire,8.49
Greater Grand Crossing,2022,5,Medical,8.65
Auburn Gresham,2024,12,Medical,9.04
Uptown,2019,3,Medical,9.24
Jefferson Park,2022,1,Medical,6.82
North Lawndale,2022,3,Police,9.26
West Englewood,2024,1,Police,10.95
Englewood,2024,5,Medical,14.12
Morgan Park,2020,7,Police,10.96
Humboldt Park,2022,9,Medical,11.16
Lincoln Square,2019,4,Medical,9.7
Chatham,2023,10,Fire,11.83
Morgan Park,2024,10,Police,6.37
West Town,2022,1,Police,10.45
South Shore,2023,7,Police,8.01
Austin,2024,3,Police,10.19
Irving Park,2020,1,Police,4.99
Lake View,2024,4,Police,8.85
Englewood,2019,11,Fire,7.02
Rogers Park,2021,9,Police,10.85
Washington Heights,2021,6,Police,9.2
West Pullman,2024,6,Police,7.42
Hyde Park,2020,7,Medical,6.76
West Garfield Park,2019,1,Medical,8.37
Woodlawn,2024,5,Police,10.93
Kenwood,2023,4,Fire,12.19
West Englewood,2020,4,Police,15.84
Washington Heights,2022,7,Medical,11.1
Hyde Park,2023,2,Police,11.85
Beverly,2024,5,Police,7.22
Grand Boulevard,2022,7,Medical,9.24
Douglas,2022,3,Fire,10.55
Lincoln Square,2023,2,Medical,8.2
Jefferson Park,2022,12,Medical,8.32
Lincoln Square,2021,1,Police,7.13
Near North Side,2023,5,Police,5.33
Grand Boulevard,2020,12,Medical,8.15
West Ridge,2021,12,Medical,6.61
Kenwood,2020,5,Police,10.99
Mount Greenwood,2019,4,Police,12.25
Pullman,2020,8,Police,10.06
Pullman,2023,2,Fire,11.2
Mount Greenwood,2020,12,Police,16.23
Englewood,2019,4,Police,13.7
Kenwood,2022,5,Fire,8.27
Hyde Park,2023,9,Fire,5.1
Austin,2024,3,Medical,8.1
Logan Square,2021,1,Police,11.69
West Town,2021,4,Medical,7.48
Woodlawn,2020,10,Police,13.13
Lincoln Square,2021,6,Police,9.79
Austin,2019,7,Medical,9.1
Roseland,2024,4,Medical,9.35
Roseland,2021,4,Police,10.72
Greater Grand Crossing,2020,6,Police,12.64
Uptown,2021,1,Police,6.83
Douglas,2022,5,Fire,12.78
Douglas,2022,11,Medical,5.89
Irving Park,2021,3,Police,11.91
Near South Side,2023,8,Medical,8.99
Lincoln Square,2024,5,Medical,7.27
Pullman,2021,7,Medical,7.02
Pullman,2022,8,Police,10.34
Grand Boulevard,2022,8,Police,12.86
Loop,2019,2,Medical,9.35
West Town,2020,2,Medical,10.24
Grand Boulevard,2019,10,Police,6.41
South Shore,2023,5,Medical,10.09
Austin,2020,3,Fire,6.53
Auburn Gresham,2021,12,Police,5.33
Near South Side,2021,12,Medical,9.83
West Town,2023,10,Medical,4.64
West Garfield Park,2024,1,Police,10.01
Auburn Gresham,2022,8,Police,12.5
Logan Square,2024,6,Medical,9.5
Near West Side,2021,3,Police,12.78
Roseland,2019,8,Police,10.02
North Lawndale,2022,11,Medical,9.8
Humboldt Park,2021,1,Fire,8.92
Greater Grand Crossing,2022,3,Medical,7.85
Greater Grand Crossing,2024,9,Fire,10.55
Loop,2020,6,Fire,5.57
Near West Side,2021,1,Fire,7.46
Near North Side,2021,9,Fire,2.15
Lincoln Square,2022,7,Medical,10.65
Englewood,2020,1,Medical,10.82
West Ridge,2019,1,Fire,7.91
Lake View,2020,5,Police,7.3
Albany Park,2019,11,Police,10.2
West Pullman,2023,4,Medical,7.92
Morgan Park,2024,12,Medical,4.29
Logan Square,2020,8,Medical,12.02
Washington Heights,2019,2,Police,8.11
Lake View,2022,6,Police,7.48
Albany Park,2019,8,Medical,10.15
Albany Park,2023,1,Medical,8.31
Beverly,2019,3,Police,5.38
Woodlawn,2024,1,Police,9.72
Near South Side,2020,7,Police,10.09
Edison Park,2019,1,Medical,7.27
Rogers Park,2020,12,Police,10.34
South Shore,2023,9,Medical,10.69
Washington Heights,2019,8,Medical,10.17
Humboldt Park,2019,11,Medical,13.81
Near South Side,2023,3,Police,8.78
Roseland,2024,12,Medical,9.22
Near South Side,2019,12,Fire,12.85
Jefferson Park,2020,4,Police,10.28
West Garfield Park,2024,9,Medical,12.24
Lake View,2021,10,Police,5.62
Pullman,2024,6,Fire,10.16
Mount Greenwood,2021,5,Medical,4.74
Beverly,2020,5,Medical,9.31
Near West Side,2019,1,Medical,8.36
Greater Grand Crossing,2020,12,Medical,5.62
Riverdale,2023,1,Medical,12.08
Logan Square,2020,3,Police,9.4
Humboldt Park,2021,2,Medical,7.68
Riverdale,2024,10,Fire,10.03
Chatham,2022,1,Police,12.9
Greater Grand Crossing,2023,12,Police,14.85
Albany Park,2019,5,Fire,8.25
Pullman,2024,11,Fire,11.6
Lincoln Park,2020,3,Police,3.88
Rogers Park,2023,7,Medical,9.32
Near North Side,2021,8,Fire,4.65
Woodlawn,2019,10,Police,10.79
Near South Side,2020,6,Police,6.36
South Shore,2024,12,Fire,8.36
Austin,2020,5,Fire,9.85
Grand Boulevard,2019,10,Medical,7.49
Loop,2024,12,Fire,3.16
Beverly,2022,5,Police,6.36
Washington Park,2022,1,Fire,8.77
South Shore,2023,12,Medical,11.18
Lake View,2020,6,Medical,6.39
Near South Side,2023,6,Medical,9.27
North Lawndale,2019,3,Medical,10.17
Lincoln Park,2024,4,Medical,3.45
Chatham,2023,4,Medical,11.35
Near West Side,2020,6,Police,6.47
Riverdale,2022,8,Police,10.73
Rogers Park,2022,12,Fire,10.18
Uptown,2019,9,Police,12.3
Near South Side,2021,9,Police,4.69
West Englewood,2023,5,Medical,8.38
Morgan Park,2019,8,Police,9.32
Mount Greenwood,2022,8,Medical,7.76
Uptown,2020,10,Police,6.56
Washington Park,2020,4,Police,10.25
Beverly,2024,4,Medical,10.26
Loop,2021,3,Medical,6.15
Englewood,2021,5,Police,9.53
Near South Side,2022,8,Medical,6.27
Grand Boulevard,2021,8,Fire,9.26
Lincoln Park,2021,9,Fire,6.42
Logan Square,2020,1,Medical,10.18
Grand Boulevard,2024,12,Medical,9.8
Jefferson Park,2023,4,Fire,8.45
West Garfield Park,2020,6,Medical,10.55
West Ridge,2024,5,Medical,14.85
Near West Side,2020,4,Police,6.3
Near West Side,2022,11,Fire,9.03
Near North Side,2024,3,Medical,2.24
Loop,2024,2,Medical,5.07
Jefferson Park,2022,9,Fire,11.27
West Garfield Park,2024,10,Police,9.67
Woodlawn,2023,3,Fire,7.16
West Ridge,2019,4,Medical,8.29
Greater Grand Crossing,2021,1,Police,13.3
Near West Side,2024,1,Police,10.06
West Garfield Park,2021,10,Medical,10.6
Lake View,2020,9,Fire,9.85
Washington Heights,2020,11,Medical,4.3
North Lawndale,2024,4,Medical,8.77
Near North Side,2024,10,Police,6.85
West Garfield Park,2024,4,Police,9.42
Washington Heights,2023,6,Police,10.89
Greater Grand Crossing,2024,2,Police,11.84
Mount Greenwood,2021,6,Police,5.9
Lincoln Square,2020,7,Police,9.38
Beverly,2020,1,Police,9.59
Washington Park,2024,8,Police,10.36
Lake View,2022,6,Police,3.09
Roseland,2019,9,Fire,11.78
Irving Park,2024,4,Police,13.41
Lincoln Square,2023,11,Medical,11.69
Kenwood,2019,2,Police,11.54
Chatham,2019,9,Police,12.66
Jefferson Park,2024,8,Medical,6.03
Lincoln Square,2023,2,Medical,5.65
Kenwood,2021,8,Medical,10.1
Humboldt Park,2024,11,Medical,9.44
Lake View,2020,8,Medical,4.59
North Lawndale,2023,5,Police,11.83
Near West Side,2020,7,Medical,9.16
Irving Park,2024,7,Medical,10.54
North Lawndale,2024,4,Medical,10.31
West Garfield Park,2022,6,Medical,9.29
Roseland,2019,10,Fire,12.17
Kenwood,2022,6,Medical,13.35
Portage Park,2019,6,Police,5.21
West Englewood,2021,9,Medical,9.68
Grand Boulevard,2023,2,Police,8.22
West Garfield Park,2021,10,Police,9.1
Rogers Park,2019,8,Fire,9.62
West Town,2024,8,Medical,9.54
West Pullman,2022,1,Medical,6.68
Jefferson Park,2019,11,Police,5.85
West Town,2024,2,Police,7.74
South Shore,2021,4,Medical,12.08
Kenwood,2024,5,Medical,11.56
West Englewood,2024,5,Medical,10.9
Douglas,2021,6,Medical,5.41
Woodlawn,2022,7,Police,13.52
Near West Side,2024,1,Police,4.92
Irving Park,2022,7,Police,10.7
Loop,2024,6,Medical,4.95
Rogers Park,2024,5,Police,7.18
Near South Side,2021,6,Medical,9.12
Rogers Park,2019,11,Fire,11.61
Albany Park,2019,8,Fire,9.55
West Pullman,2023,12,Police,10.84
Washington Heights,2021,6,Police,9.1
Douglas,2023,5,Medical,9.62
North Lawndale,2024,6,Police,12.66
West Pullman,2021,9,Police,8.19
Woodlawn,2023,12,Medical,10.99
South Shore,2020,1,Police,5.52
North Lawndale,2019,3,Police,9.56
Washington Heights,2019,3,Police,11.02
Chatham,2020,9,Fire,10.02
North Lawndale,2022,3,Fire,9.72
Edison Park,2020,6,Medical,8.29
Pullman,2019,9,Medical,7.7
Englewood,2021,10,Police,10.54
Near North Side,2023,5,Police,3.22
Greater Grand Crossing,2019,10,Medical,6.1
North Lawndale,2020,11,Fire,12.74
Beverly,2021,9,Medical,6.25
Jefferson Park,2019,9,Medical,9.11
Jefferson Park,2020,6,Fire,7.55
Edison Park,2019,8,Medical,10.9
West Englewood,2020,9,Medical,7.61
North Lawndale,2024,9,Police,12.12
Lake View,2020,8,Medical,7.79
